198
-1240.52 -529.098 7.51933,178,stand,,,
-1457.79 -256.051 8.125,122 145 178,stand,,,
-1327.99 730.39 8.125,3 4 113 144,stand,,,
-1881.06 789.8 8.125,2,stand,,,
-1285.47 862.204 8.125,2 5 193,stand,,,
-1500.52 856.432 144.125,4 6,stand,,,
-1387.51 1063.06 184.125,5 7,stand,,,
-1155 1079.68 184.125,6 8,stand,,,
-1142.29 1244.39 184.125,7 9,stand,,,
-1366.64 1271.73 184.125,8 10,stand,,,
-1378.48 1524.4 159.814,9 11 13,stand,,,
-982.999 1584.72 151.479,10 12 115 116,stand,,,
-1081.06 1878.52 224.79,11 13 15,stand,,,
-1448.72 1883.16 225.224,12 14 10,stand,,,
-1476 2135.29 259.081,13 15,stand,,,
-1049.5 2124.89 272.015,14 12 16,stand,,,
-884.091 2346.19 283.064,15 17 26 117,stand,,,
-928.166 2609.88 280.454,16 18 19,stand,,,
-972.976 2841.63 282.991,17,stand,,,
-473.351 2636.13 332.687,17 20 26,stand,,,
-185.746 2692.11 339.027,19 21,stand,,,
67.9628 2803.79 335.675,20 22,stand,,,
457.718 2772.79 290.291,21 23 49,stand,,,
404.131 2303.06 283.853,22 24 48,crouch,,,
357.561 2252.26 282.266,23 25,crouch,,,
-36.3888 2317.88 283.949,24 26,stand,,,
-298.846 2265.6 282.682,25 16 27 19,stand,,,
-304.549 2066.33 288.125,26 28 117,stand,,,
-90.6727 1977.92 240.673,27 29 35 159,stand,,,
-288.308 1907.56 238.951,28 30,stand,,,
-278.88 1452.92 152.481,29 31 32,stand,,,
-473.048 1435.17 160.125,30,stand,,,
-132.82 1471.87 152.885,30 33 67,stand,,,
244.621 1396.14 151.457,32 34 38,stand,,,
265.338 1578.47 158.592,33 35 37,stand,,,
256.137 1986.09 240.125,34 28 47,stand,,,
128.721 1794.53 312.125,37 160 187,stand,,,
137.605 1595.53 176.125,36 34 187,stand,,,
657.917 1396.94 168.125,33 39 47 46,stand,,,
664.176 1100.94 344.125,38 40 188,stand,,,
835.259 1112.91 344.125,39 142 153,stand,,,
909.311 737.683 190.049,42 135 148,stand,,,
1241.21 770.286 192.45,41 43 66 45,stand,,,
1710.02 782.053 192.112,42 44,stand,,,
1712.35 1152.94 189.854,43 45,stand,,,
1262.83 1228 187.45,44 46 42,stand,,,
974.33 1655.93 172.976,45 47 38,stand,,,
811.139 1874.35 168.125,46 48 35 38,stand,,,
819.511 2301.87 283.816,47 23 120,stand,,,
800.88 2825.17 294.23,22,stand,,,
631.106 276.481 160.125,51 64 148 173,stand,,,
531.762 -269.662 8.125,50 147,stand,,,
164.838 -589.757 16.5713,53 98 147,stand,,,
